Время	ТМИ
447.205	62.815487
447.215	62.574066
447.226	62.574066
447.235	62.815487
447.245	62.815487
447.256	62.574066
447.265	62.574066
447.275	62.574066
447.286	62.574066
447.296	62.815487
447.305	62.815487
447.316	62.574066
447.326	62.574066
447.335	62.574066
447.346	62.574066
447.356	62.815487
447.365	62.815487
447.376	62.574066
447.386	62.574066
447.395	62.574066
447.405	62.574066
447.416	62.815487
447.425	62.815487
447.435	62.574066
447.446	62.574066
447.455	62.574066
447.465	62.574066
447.476	62.815487
447.485	62.815487
447.495	62.574066
447.506	62.574066
447.515	62.574066
447.525	62.574066
447.536	62.815487
447.546	62.815487
447.555	62.574066
447.566	62.815487
447.576	62.574066
447.585	62.574066
447.596	62.815487
447.606	62.815487
447.615	62.815487
447.626	62.815487
447.636	62.574066
447.645	62.574066
447.655	62.332523
447.666	62.815487
447.675	62.815487
447.685	62.815487
447.696	62.574066
447.705	62.574066
447.715	62.815487
447.726	62.815487
447.735	62.332523
447.745	62.574066
447.756	62.574066
447.765	62.574066
447.775	62.815487
447.786	62.815487
447.796	62.815487
447.805	62.574066
447.816	62.574066
447.826	62.574066
447.835	62.815487
447.846	62.815487
447.856	62.815487
447.865	62.574066
447.876	62.090855
447.886	62.574066
447.895	62.815487
447.905	62.815487
447.916	62.815487
447.925	62.090855
447.935	62.090855
447.946	61.607147
447.955	62.815487
447.965	62.332523
447.976	61.849064
447.985	62.574066
447.995	62.574066
448.006	62.574066
448.015	62.815487
448.025	62.332523
448.036	61.849064
448.046	62.090855
448.055	62.574066
448.066	62.090855
448.076	62.815487
448.085	62.815487
448.096	62.815487
448.106	62.815487
448.115	62.574066
448.126	61.607147
448.136	62.815487
448.145	62.332523
448.155	62.815487
448.166	62.815487
448.175	62.574066
448.185	61.607147
448.196	62.815487
448.205	62.332523
448.215	62.815487
448.226	62.332523
448.235	62.574066
448.245	61.607147
448.256	62.815487
448.265	61.849064
448.275	62.815487
448.286	62.574066
448.296	62.574066
448.305	62.574066
448.316	62.815487
448.326	62.332523
448.335	62.815487
448.346	61.607147
448.356	62.574066
448.365	62.574066
448.376	62.815487
448.386	62.815487
448.395	62.815487
448.405	61.607147
448.416	62.574066
448.425	61.607147
448.435	62.815487
448.446	62.332523
448.455	62.815487
448.465	62.090855
448.476	62.574066
448.485	61.607147
448.495	62.815487
448.506	62.815487
448.515	62.815487
448.525	62.090855
448.536	62.574066
448.546	62.574066
448.555	61.849064
448.566	62.815487
448.576	61.849064
448.585	62.815487
448.596	62.574066
448.606	62.574066
448.615	62.815487
448.626	62.815487
448.636	61.849064
448.645	62.815487
448.655	61.607147
448.666	62.574066
448.675	62.815487
448.685	62.815487
448.696	62.815487
448.705	62.332523
448.715	62.574066
448.726	62.574066
448.735	62.815487
448.745	62.815487
448.756	62.815487
448.765	62.574066
448.775	62.574066
448.786	62.574066
448.796	62.815487
448.805	62.815487
448.816	62.332523
448.826	62.574066
448.835	62.574066
448.846	62.574066
448.856	62.815487
448.865	62.815487
448.876	62.815487
448.886	62.574066
448.895	62.090855
448.905	62.574066
448.916	62.815487
448.925	62.815487
448.935	62.815487
448.946	62.574066
448.955	62.574066
448.965	62.574066
448.976	62.815487
448.985	62.815487
448.995	62.574066
449.006	62.574066
449.015	62.574066
449.025	62.574066
449.036	62.815487
449.046	62.574066
449.055	62.574066
449.066	62.574066
449.076	62.815487
449.085	62.574066
449.096	62.815487
449.106	62.815487
449.115	62.574066
449.126	62.815487
449.136	62.815487
449.145	62.574066
449.155	62.815487
449.166	62.815487
449.175	62.574066
449.185	62.815487
449.196	62.574066
449.205	62.574066
449.215	62.815487
449.226	62.815487
449.235	62.574066
449.245	62.332523
449.256	62.574066
449.265	62.574066
449.275	62.815487
449.286	62.815487
449.296	62.574066
449.305	62.574066
449.316	62.574066
449.326	62.574066
449.335	62.815487
449.346	62.815487
